,Name,Rating,Num_Ratings,Price,Id,Status,AscLoc,BusTypes,Hours,Avg_Close,Avg_Open
302,Rosie's Place,4.6,718.0,2.0,ChIJv_qJrmRVE4gRwFZ4VS8jTJM,OPERATIONAL,zWORKS,"['bakery', 'store']","[['08:00', '14:00'], ['07:00', '15:00'], ['07:00', '15:00'], ['07:00', '15:00'], ['07:00', '15:00'], ['07:00', '15:00'], ['08:00', '14:00']]",14.714285714285714,7.285714285714286
303,Convivio Italian Artisan Cuisine - Zionsville,4.7,289.0,2.0,ChIJBWYnpWRVE4gRW0endhOg3CU,OPERATIONAL,zWORKS,[],"[['17:00', '21:00'], ['17:00', '21:00'], ['17:00', '21:00'], ['17:00', '21:00'], ['17:00', '22:00'], ['17:00', '22:00']]",21.333333333333332,17.0
304,Greek's Pizzeria Zionsville,4.3,243.0,2.0,ChIJu6LwrWRVE4gRN1I4Ku-6C44,OPERATIONAL,zWORKS,[],"[['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '22:00'], ['11:00', '22:00']]",21.285714285714285,11.0
305,"Curvus - Black Acre Rotisserie, Taproom, and Bourbon Bar",4.183050847457628,340.33898305084745,1.5833333333333333,ChIJReS9nURVE4gRg2R2czz0jhc,OPERATIONAL,zWORKS,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",20.59762888626525,10.003331365604092
306,AUBERGE,4.5,167.0,1.5833333333333333,ChIJQxqpZmNVE4gRv6oTpH4Vzus,OPERATIONAL,zWORKS,[],"[['08:00', '14:00'], ['11:00', '14:00'], ['16:00', '21:00'], ['11:00', '14:00'], ['16:00', '21:00'], ['11:00', '14:00'], ['16:00', '21:00'], ['11:00', '14:00'], ['16:00', '22:00'], ['08:00', '14:00'], ['16:00', '22:00']]",17.363636363636363,12.727272727272727
307,Rush On Main,4.5,461.0,2.0,ChIJhyLjnmRVE4gRg0ruHY8TDeA,OPERATIONAL,zWORKS,['bar'],"[['12:00', '20:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '23:30'], ['11:00', '23:30']]",22.142857142857142,11.142857142857142
308,Cobblestone,4.6,398.0,2.0,ChIJg10IYmNVE4gRtWZlU5uyPIw,OPERATIONAL,zWORKS,[],"[['10:00', '14:30'], ['11:00', '14:00'], ['17:00', '21:30'], ['11:00', '14:00'], ['17:00', '21:30'], ['11:00', '14:00'], ['17:00', '21:30'], ['11:00', '21:30'], ['11:00', '22:30'], ['10:00', '22:30']]",18.75,12.6
309,The Lemon Bar,4.4,215.0,2.0,ChIJl7hvcmNVE4gRx7ISlvYxhG4,OPERATIONAL,zWORKS,[],"[['09:00', '15:00'], ['10:00', '15:00'], ['10:00', '15:00'], ['10:00', '15:00'], ['09:00', '15:00']]",15.0,9.6
310,Zionsville Pizzeria,4.4,186.0,1.0,ChIJ766toWNVE4gR93n5yaXMsCA,OPERATIONAL,zWORKS,[],"[['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00']]",21.0,11.0
311,The Friendly Tavern,4.7,1306.0,2.0,ChIJLSIZgWNVE4gRjOh-Gd-r7Lo,OPERATIONAL,zWORKS,['bar'],"[['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '23:00'], ['11:00', '23:00']]",22.333333333333332,11.0
